FIFA,OPTA,Fifa Ovr,Crossing,Finishing,ShortPassing,Dribbling,LongPassing,StandingTackle,SlidingTackle
T. Jedvaj,"Tin Jedvaj Bayer Leverkusen, 23, D(CLR) ",76,67,51,68,60,60,76,77
Raffael,"Raffael Borussia M.Gladbach, 34, AM(CL),FW ",81,78,78,83,87,76,42,31
S. Skrzybski,"Steven Skrzybski Schalke 04, 26, AM(CLR),FW ",73,67,73,69,75,55,28,21
M. Fabián,"Marco Fabián Eintracht Frankfurt, 30, AM(CR),FW ",77,74,72,77,78,74,38,34
O. Sorg,"Oliver Sorg Hannover 96, 29, D(CLR),DMC,M(R) ",73,68,40,72,68,62,75,74
D. Aogo,"Dennis Aogo VfB Stuttgart, 32, D(L),M(CL) ",75,76,40,77,74,72,71,75
F. Muslija,"Florent Muslija Hannover 96, 21, Midfielder ",68,62,48,64,75,57,28,33
L. Mühl,"Lukas Mühl Nuernberg, 22, D(C) ",69,49,25,69,52,67,73,73
K. Möhwald,"Kevin Möhwald Werder Bremen, 26, AM(CR) ",73,82,56,74,74,76,56,31
J. Zimmer,"Jean Zimmer Fortuna Duesseldorf, 25, D(R),M(R) ",71,73,53,71,69,59,68,71
F. Di Santo,"Franco Di Santo Schalke 04, 30, AM(CLR),FW ",75,62,70,76,75,63,38,32
C. Pizarro,"Claudio Pizarro Werder Bremen, 40, AM(C),FW ",74,62,78,75,76,74,33,24
A. Abrashi,"Amir Abrashi Freiburg, 29, DMC ",71,52,53,65,60,59,75,76
T. Usami,"Takashi Usami Fortuna Duesseldorf, 27, AM(LR) ",74,69,71,71,80,68,27,21
J. Morávek,"Jan Morávek Augsburg, 29, M(C) ",72,72,66,77,75,73,58,55
M. Uth,"Mark Uth Schalke 04, 28, AM(CR),FW ",80,67,85,72,78,68,33,25
D. Kohr,"Dominik Kohr Bayer Leverkusen, 25, DMC ",77,42,57,76,70,69,77,69
P. Mwene,"Philipp Mwene Mainz 05, 25, D(R),M(R) ",71,70,44,66,69,53,64,74
A. Beck,"Andreas Beck VfB Stuttgart, 32, D(LR),M(R) ",74,69,29,73,71,69,76,74
M. Wolf,"Marius Wolf Borussia Dortmund, 24, D(R),M(CLR) ",77,75,75,73,78,61,54,50
M. Friedl,"Marco Friedl Werder Bremen, 21, D(CL) ",68,62,32,59,66,52,71,68
Bruma,"Bruma RasenBallsport Leipzig, 24, AM(CLR) ",79,72,71,75,87,60,27,28
S. Zuber,"Steven Zuber Hoffenheim, 28, D(L),M(CLR) ",76,74,63,74,78,61,73,68
F. Kainz,"Florian Kainz Werder Bremen, 26, AM(CL) ",76,72,71,73,82,70,31,25
M. Gaćinović,"Mijat Gacinovic Eintracht Frankfurt, 24, M(CLR) ",75,69,72,78,81,72,64,65
K. Schlotterbeck,"Nico Schlotterbeck Freiburg, 19, Defender ",58,24,17,51,36,45,62,58
N. Müller,"Nicolai Müller Hannover 96, 31, M(CLR),FW ",77,75,75,71,83,66,49,37
J. Burkardt,"Jonathan Burkardt Mainz 05, 19, Forward ",61,48,61,62,75,46,24,21
J. Yeboah,"John Yeboah Wolfsburg, 19, Midfielder ",62,58,60,58,66,42,23,20
A. Baba,"Abdul Rahman Baba Schalke 04, 25, D(L),M(L) ",74,76,48,72,75,67,74,74
A. Donis,"Anastasios Donis VfB Stuttgart, 23, AM(CR),FW ",73,45,74,68,79,50,18,24
S. Ilsanker,"Stefan Ilsanker RasenBallsport Leipzig, 30, D(CR),DMC ",75,39,45,71,50,64,79,79
L. Klünter,"Lukas Klünter Hertha Berlin, 23, D(R),M(R) ",69,65,60,66,66,55,68,63
M. Kamiński,"Marcin Kaminski Fortuna Duesseldorf, 27, D(C) ",73,55,53,72,59,75,73,71
K. Akpoguma,"Kevin Akpoguma Hoffenheim, 24, D(C) ",75,60,45,65,59,60,78,76
M. Ishak,"Mikael Ishak Nuernberg, 26, FW ",73,57,74,70,69,43,43,46
A. Ujah,"Anthony Ujah Mainz 05, 28, FW ",73,50,71,62,71,55,29,23
P. Erras,"Patrick Erras Nuernberg, 24, DMC ",69,44,40,73,38,66,72,59
P. Lienhart,"Philipp Lienhart Freiburg, 23, D(C) ",67,41,24,54,46,48,70,65
S. Rudy,"Sebastian Rudy Schalke 04, 29, D(R),M(CR) ",80,73,63,82,78,81,76,74
M. Ducksch,"Marvin Ducksch Fortuna Duesseldorf, 25, FW ",72,61,73,63,64,42,35,22
A. Zreľák,"Adam Zrelák Nuernberg, 25, FW ",68,38,68,48,59,39,26,19
M. Terrazzino,"Marco Terrazzino Freiburg, 28, AM(CL),FW ",70,69,54,73,75,58,32,28
J. Eggestein,"Johannes Eggestein Werder Bremen, 21, AM(R),FW ",67,54,71,64,70,59,24,20
S. Jung,"Sebastian Jung Wolfsburg, 29, D(R) ",72,78,42,75,71,74,73,73
H. Mendyl,"Hamza Mendyl Schalke 04, 21, D(L),M(L) ",70,62,36,64,73,53,65,66
A. Esswein,"Alexander Esswein VfB Stuttgart, 29, AM(LR),FW ",72,70,68,68,75,61,68,59
H. Nordtveit,"Håvard Nordtveit Hoffenheim, 29, D(CR),DMC ",76,66,40,73,64,77,77,76
M. Ostrzolek,"Matthias Ostrzolek Hannover 96, 29, D(L),DMC,M(L) ",75,72,36,71,73,69,76,77
M. Philipp,"Maximilian Philipp Borussia Dortmund, 25, AM(LR),FW ",79,66,81,78,85,62,48,39
G. Holtmann,"Gerrit Holtmann Mainz 05, 24, AM(L) ",71,69,60,66,73,57,59,50
Y. Konoplyanka,"Yevhen Konoplyanka Schalke 04, 29, AM(CL),FW ",79,75,76,77,82,74,30,27
F. Klaus,"Felix Klaus Wolfsburg, 26, AM(CLR) ",76,71,69,73,78,62,33,29
R. Bauer,"Robert Bauer Nuernberg, 24, D(CLR),M(LR) ",72,67,40,69,70,68,75,68
M. Bakalorz,"Marvin Bakalorz Hannover 96, 29, M(C) ",74,44,56,71,65,68,75,74
K. Wimmer,"Kevin Wimmer Hannover 96, 26, D(C) ",75,44,21,72,64,70,77,76
R. Baku,"Ridle Baku Mainz 05, 21, M(C) ",67,56,60,75,72,66,55,57
F. Niederlechner,"Florian Niederlechner Freiburg, 28, AM(CR),FW ",75,54,79,64,71,48,35,28
M. Cuisance,"Michaël Cuisance Borussia M.Gladbach, 20, M(C) ",72,79,59,78,75,73,59,55
S. Kerk,"Sebastian Kerk Nuernberg, 25, AM(CLR) ",70,80,62,70,73,63,27,32
I. Fossum,"Iver Fossum Hannover 96, 23, M(C) ",73,60,59,72,72,69,65,62
M. Albornoz,"Miiko Albornoz Hannover 96, 28, D(L),M(L) ",71,77,36,74,75,70,67,71
L. Öztunalı,"Levin Öztunali Mainz 05, 23, AM(CLR) ",74,70,65,67,80,67,48,42
Renato Sanches,"Renato Sanches Bayern Munich, 22, M(C) ",75,60,65,76,77,70,70,64
R. Bormuth,"Robin Bormuth Fortuna Duesseldorf, 23, D(C) ",69,20,21,43,39,51,71,66
A. Maxim,"Alexandru Maxim Mainz 05, 29, AM(CL) ",73,70,63,70,80,70,30,23
A. Fuchs,"Alexander Fuchs Nuernberg, 22, M(C) ",66,53,49,69,68,64,54,52
Matheus Cunha,"Matheus Cunha RasenBallsport Leipzig, 20, FW ",70,64,69,57,71,55,14,24
J. Hoogma,"Justin Hoogma Hoffenheim, 21, D(C) ",69,28,23,69,45,71,72,69
J. Korb,"Julian Korb Hannover 96, 27, D(R),M(R) ",75,75,49,76,76,54,78,77
V. Misidjan,"Virgil Misidjan Nuernberg, 26, AM(LR) ",74,68,73,68,77,54,24,22
K. Goden,"Kevin Goden Nuernberg, 20, Defender ",62,60,36,57,56,39,64,64
B. Wood,"Bobby Wood Hannover 96, 26, AM(C),FW ",73,62,75,64,71,61,20,18
V. Darida,"Vladimír Darida Hertha Berlin, 29, M(C),FW ",78,76,68,81,78,75,66,59
F. Götze,"Felix Götze Augsburg, 21, Midfielder ",65,36,28,62,43,51,70,69
F. Uduokhai,"Felix Uduokhai Wolfsburg, 21, D(C) ",76,35,33,71,49,59,79,71
F. Johnson,"Fabian Johnson Borussia M.Gladbach, 31, D(LR),M(CLR) ",77,76,70,76,79,69,75,73
J. Augustin,"Jean-Kévin Augustin RasenBallsport Leipzig, 22, AM(R),FW ",77,66,83,68,80,48,24,17
J. Willems,"Jetro Willems Eintracht Frankfurt, 25, D(L),DMC,M(L) ",76,86,54,75,78,71,73,72
D. Luckassen,"Derrick Luckassen Hertha Berlin, 24, D(CR),DMC ",73,55,48,70,65,69,71,70
F. Palacios Martínez,"Federico Palacios Nuernberg, 24, FW ",65,52,67,67,74,43,35,30
Y. Kubo,"Yuya Kubo Nuernberg, 25, AM(CLR),FW ",74,64,75,70,76,61,49,51
Allan,"Allan Souza Eintracht Frankfurt, 22, DMC ",83,70,72,85,82,77,85,83
I. Kiese Thelin,"Isaac Thelin Bayer Leverkusen, 27, FW ",72,46,71,74,65,59,25,20
S. Córdova,"Sergio Córdova Augsburg, 22, FW ",67,37,67,59,71,50,19,17
G. Teigl,"Georg Teigl Augsburg, 28, D(R),M(R) ",68,74,54,64,66,44,64,66
C. Okoroji,"Chima Okoroji Freiburg, 22, D(L) ",58,55,26,53,56,41,60,62
L. Höler,"Lucas Höler Freiburg, 25, AM(CLR),FW ",72,45,72,61,67,41,30,26
N. Müller,"Nicolai Müller Hannover 96, 31, M(CLR),FW ",77,75,75,71,83,66,49,37
J. Bruma,"Jeffrey Bruma Schalke 04, 27, D(C) ",75,40,38,71,59,72,76,72
P. Pekarík,"Peter Pekarík Hertha Berlin, 32, D(LR) ",75,73,29,74,73,64,78,81
T. Tawatha,"Taleb Tawatha Eintracht Frankfurt, 27, D(L),M(L) ",70,73,39,70,72,63,71,71
T. Kleindienst,"Tim Kleindienst Freiburg, 24, FW ",71,50,71,60,67,45,29,22
J. Sargent,"Joshua Sargent Werder Bremen, 19, Forward ",64,43,67,56,66,46,27,21
A. Davies,"Alphonso Davies Bayern Munich, 18, AM(LR) ",60,23,24,58,42,37,62,58
A. Barkok,"Aymen Barkok Fortuna Duesseldorf, 21, AM(C) ",69,56,63,65,80,59,54,55
P. Verhaegh,"Paul Verhaegh Wolfsburg, 36, D(R),M(R) ",74,74,42,74,72,68,75,77
S. Kagawa,"Shinji Kagawa Borussia Dortmund, 30, M(CL) ",81,65,76,83,86,72,53,49
C. Akolo,"Chadrac Akolo VfB Stuttgart, 24, AM(CR) ",73,63,74,67,79,65,27,26
K. Akpoguma,"Kevin Akpoguma Hoffenheim, 24, D(C) ",75,60,45,65,59,60,78,76
E. Thommy,"Erik Thommy VfB Stuttgart, 25, AM(CLR) ",75,80,70,74,77,64,37,31
J. Elez,"Josip Elez Hannover 96, 25, D(C) ",73,45,52,73,62,63,73,68
M. Stendera,"Marc Stendera Eintracht Frankfurt, 23, M(C) ",74,67,72,77,75,71,68,57
T. Knöll,"Törles Knöll Nuernberg, 21, Forward ",64,32,67,54,57,39,23,17
R. Oxford,"Reece Oxford Augsburg, 20, D(C) ",67,34,22,63,52,57,66,65
F. Jensen,"Fredrik Jensen Augsburg, 21, AM(C) ",71,68,68,70,75,63,57,56
J. Schieber,"Julian Schieber Augsburg, 30, FW ",73,60,73,66,64,49,26,19
H. Wright,"Haji Wright Schalke 04, 21, FW ",64,42,65,54,60,37,20,18
S. Rhein,"Simon Rhein Nuernberg, 21, M(C) ",62,47,38,67,55,64,66,66
N. Sarenren Bazee,"Noah Joel Sarenren Bazee Hannover 96, 23, AM(R) ",70,70,63,68,75,52,26,29
P. Köpke,"Pascal Köpke Hertha Berlin, 24, AM(CR),FW ",71,65,70,67,69,49,21,18
Paulinho,"Paulinho Bayer Leverkusen, 19, AM(LR) ",71,63,58,68,76,65,37,31
T. Tillman,"Timothy Tillman Nuernberg, 20, Midfielder ",60,53,49,65,69,49,27,30
B. Özcan,"Berkay Özcan VfB Stuttgart, 21, M(CL) ",71,67,56,74,76,65,34,46
A. Aidonis,"Antonis Aidonis VfB Stuttgart, 18, Defender ",62,0,0,0,0,0,0,0
Y. Ravet,"Yoric Ravet Freiburg, 29, M(R) ",75,76,68,75,74,68,33,35
P. Dárdai,"Palko Dárdai Hertha Berlin, 20, Forward ",62,65,61,54,70,43,45,34
S. Asta,"Simon Asta Augsburg, 18, Defender ",60,53,28,49,62,35,63,64
E. Salli,"Edgar Salli Nuernberg, 27, AM(LR) ",69,60,64,61,74,48,31,22
D. Jastrzembski,"Dennis Jastrzembski Hertha Berlin, 19, Forward ",66,63,65,66,69,60,40,22
C. Teuchert,"Cedric Teuchert Schalke 04, 22, FW ",68,57,68,61,73,44,27,20
C. Baumgartner,"Christoph Baumgartner Hoffenheim, 20, Midfielder ",60,47,40,70,60,65,49,50
T. Asano,"Takuma Asano Hannover 96, 24, AM(CLR),FW ",70,56,63,63,73,43,18,16
C. Janker,"Christoph Janker Augsburg, 34, D(C) ",70,45,22,54,42,41,76,74
B. Henrichs,"Benjamin Henrichs Bayer Leverkusen, 22, D(LR),M(R) ",76,79,50,77,78,66,74,70
L. Messi,"Lionel Messi Barcelona, 32, AM(CR),FW ",94,84,95,90,97,87,28,26
L. Suárez,"Luis Suárez Barcelona, 32, AM(CLR),FW ",91,77,93,82,87,64,45,38
Iago Aspas,"Iago Aspas Celta Vigo, 32, AM(CR),FW ",84,80,88,79,86,64,21,18
Parejo,"Daniel Parejo Valencia, 30, M(C) ",85,84,79,90,78,87,68,60
K. Benzema,"Karim Benzema Real Madrid, 31, FW ",85,75,81,83,83,62,15,12
Carlos Isaac,"Carlos Isaac Atletico Madrid, 21, Defender ",63,57,26,56,55,31,63,61
A. Griezmann,"Antoine Griezmann Atletico Madrid, 28, AM(CLR),FW ",89,82,90,83,88,76,47,48
O. Dembélé,"Ousmane Dembélé Barcelona, 22, AM(CLR) ",83,78,78,78,90,70,30,33
Rodrigo,"Rodrigo Atletico Madrid, 23, DMC ",83,72,78,78,82,58,41,40
W. Ben Yedder,"Wissam Ben Yedder Sevilla, 29, AM(C),FW ",82,74,84,78,84,66,33,26
G. Maripán,"Guillermo Maripán Deportivo Alaves, 25, D(C) ",75,41,28,66,40,51,77,73
Piqué,"Gerard Piqué Barcelona, 32, D(C) ",87,57,64,81,59,80,86,84
Saúl,"Saúl Ñíguez Atletico Madrid, 24, D(CL),M(CLR) ",85,69,78,85,83,83,79,76
Raúl García,"Raúl García Athletic Bilbao, 33, M(CLR),FW ",80,78,79,79,78,80,74,63
Pablo Sarabia,"Pablo Sarabia Sevilla, 27, D(L),M(CLR) ",82,86,78,83,86,77,49,46
Casemiro,"Casemiro Real Madrid, 27, DMC ",88,52,59,85,69,82,90,87
Joan Jordán,"Joan Jordán Eibar, 25, M(C) ",78,65,75,79,78,78,76,54
J. Giménez,"José Giménez Atletico Madrid, 24, D(CR) ",84,47,37,68,47,58,86,87
Campaña,"José Campaña Levante, 26, M(C) ",79,73,73,82,77,81,75,69
Morata,"Álvaro Morata Atletico Madrid, 26, AM(L),FW ",82,73,80,78,83,51,14,20
Santi Cazorla,"Santi Cazorla Villarreal, 34, M(CLR) ",80,85,71,85,84,84,60,50
T. Kroos,"Toni Kroos Real Madrid, 29, M(C) ",90,88,76,92,81,93,79,69
Sergio,"Sergio Camello Atletico Madrid, 18, Forward ",78,21,11,37,13,39,12,13
Koke,"Koke Atletico Madrid, 27, M(CLR) ",85,86,72,90,82,89,69,51
J. Calleri,"Jonathan Calleri Deportivo Alaves, 25, FW ",77,56,76,66,74,58,39,32
I. Rakitić,"Ivan Rakitic Barcelona, 31, M(C) ",87,84,83,87,84,90,74,70
Ander Guevara,"Ander Guevara Real Sociedad, 22, Midfielder ",66,60,61,70,66,67,63,52
Rochina,"Rubén Rochina Levante, 28, M(CLR) ",75,69,72,77,80,71,54,44
G. Lo Celso,"Giovani Lo Celso Real Betis, 23, AM(C),FW ",80,75,73,81,81,80,67,67
Cote,"Cote Eibar, 29, D(L) ",77,78,42,76,68,61,76,80
E. Velázquez,"Emiliano Velázquez Rayo Vallecano, 25, D(C) ",74,24,51,67,53,71,78,75
Z. Feddal,"Zouhair Feddal Real Betis, 29, D(C) ",80,57,40,76,56,68,83,78
Rubén Peña,"Rubén Peña Eibar, 28, D(R),M(L) ",77,78,71,77,78,56,78,79
Iborra,"Vicente Iborra Villarreal, 31, M(C) ",79,53,69,83,70,81,79,74
Carvajal,"Daniel Carvajal Real Madrid, 27, D(R) ",84,83,41,81,76,71,83,85
A. Januzaj,"Adnan Januzaj Real Sociedad, 24, AM(CLR) ",78,77,71,79,81,74,22,22
L. Modrić,"Luka Modric Real Madrid, 33, M(C) ",91,86,72,93,90,88,76,73
C. Stuani,"Cristhian Stuani Girona, 32, AM(CLR),FW ",80,68,80,74,78,65,49,42
S. Boufal,"Sofiane Boufal Celta Vigo, 25, AM(CLR),FW ",77,69,68,75,86,66,40,32
R. Rosales,"Roberto Rosales Espanyol, 30, D(R),M(R) ",74,74,51,71,69,66,72,74
L. Hernández,"Lucas Hernández Atletico Madrid, 23, D(CL) ",82,78,42,80,65,63,83,86
Jordi Alba,"Jordi Alba Barcelona, 30, D(L) ",87,87,73,84,80,74,84,85
L. Cabrera,"Leandro Cabrera Getafe, 28, D(CL) ",72,60,23,69,52,59,75,78
Reguilón,"Sergio Reguilón Real Madrid, 22, D(L) ",68,66,22,62,63,44,68,68
Canales,"Sergio Canales Real Betis, 28, AM(CLR) ",80,79,77,84,81,70,23,16
Sergio Busquets,"Sergio Busquets Barcelona, 31, DMC ",89,62,67,89,80,82,86,80
Williams,"Iñaki Williams Athletic Bilbao, 25, AM(CLR),FW ",81,78,77,79,82,66,38,31
Brais Méndez,"Brais Méndez Celta Vigo, 22, AM(CR) ",75,64,73,74,78,65,40,32
F. Coquelin,"Francis Coquelin Valencia, 28, M(CLR) ",79,60,54,77,72,74,80,79
D. Godín,"Diego Godín Atletico Madrid, 33, D(C) ",90,55,42,79,53,70,89,89
Gayà,"José Gayá Valencia, 24, D(L) ",80,82,61,81,77,75,78,80
Yeray,"Yeray Álvarez Athletic Bilbao, 24, D(C) ",77,48,41,70,53,71,72,84
Bartra,"Marc Bartra Real Betis, 28, D(CR) ",82,55,55,79,70,78,83,80
Jorge Molina,"Jorge Molina Getafe, 37, FW ",77,49,79,75,68,57,32,19
F. Orellana,"Fabián Orellana Eibar, 33, AM(CLR) ",77,75,77,76,82,74,37,25
J. Todibo,"Jean-Clair Todibo Barcelona, 19, D(C) ",64,46,40,69,59,64,64,68
Filipe Luís,"Filipe Luís Atletico Madrid, 34, D(L) ",85,86,59,80,77,77,84,86
Unai Núñez,"Unai Núñez Athletic Bilbao, 22, D(C) ",75,29,16,74,35,33,77,76
M. Gómez,"Maxi Gómez Celta Vigo, 23, FW ",80,56,85,76,76,58,20,23
G. Kondogbia,"Geoffrey Kondogbia Valencia, 26, DMC ",82,65,69,81,78,79,83,82
Mario Hermoso,"Mario Hermoso Espanyol, 24, D(C) ",76,71,29,67,61,63,79,78
De Tomás,"Raúl de Tomás Rayo Vallecano, 24, FW ",76,50,79,68,69,42,16,20
Rúben Vezo,"Rúben Vezo Levante, 25, D(CR) ",77,65,44,69,54,66,78,77
D. Siovas,"Dimitrios Siovas Leganes, 30, D(C) ",72,33,38,70,62,70,79,76
André Silva,"André Silva Sevilla, 23, FW ",79,59,82,69,77,58,40,35
T. Partey,"Thomas Partey Atletico Madrid, 26, D(R),M(CR) ",82,58,63,85,78,79,83,80
Aritz Elustondo,"Aritz Elustondo Real Sociedad, 25, D(CR) ",76,72,26,73,48,43,78,80
Jesús Navas,"Jesús Navas Sevilla, 33, D(R),M(R) ",80,82,64,75,80,73,61,62
Martín,"Martín Mantovani SD Huesca, 35, D(C) ",75,77,28,76,65,45,78,77
Gabriel Paulista,"Gabriel Paulista Valencia, 28, D(CR) ",82,67,42,74,60,69,83,83
Junior Firpo,"Júnior Firpo Real Betis, 23, D(L),M(L) ",76,77,61,72,67,70,77,78
Borja Iglesias,"Borja Iglesias Espanyol, 26, FW ",77,50,80,68,70,64,27,18
Coutinho,"Philippe Coutinho Barcelona, 27, M(CLR) ",88,79,79,88,91,83,54,47
Rodrigo,"Rodrigo Moreno Valencia, 28, M(CLR),FW ",83,72,78,78,82,58,41,40
E. Garay,"Ezequiel Garay Valencia, 32, D(C) ",82,62,58,69,60,72,83,81
Sergio Ramos,"Sergio Ramos Real Madrid, 33, D(CR) ",91,66,60,78,63,77,92,91
Y. En-Nesyri,"Youssef En-Nesyri Leganes, 22, FW ",72,48,73,63,74,46,31,27
G. Carrillo,"Guido Carrillo Leganes, 28, FW ",75,34,75,64,70,57,29,26
Toni Moya,"Toni Moya Atletico Madrid, 21, Midfielder ",63,44,58,66,64,60,48,47
Sergi Roberto,"Sergi Roberto Barcelona, 27, D(R),M(CR) ",83,85,63,86,78,78,83,83
S. Arias,"Santiago Arias Atletico Madrid, 27, D(R) ",78,74,51,74,74,73,76,77
Marc Roca,"Marc Roca Espanyol, 22, DMC ",76,66,59,80,71,75,76,74
J. Murillo,"Jeison Murillo Valencia, 27, D(C) ",80,56,37,68,58,62,80,82
Jorge Miramón,"Jorge Miramón SD Huesca, 30, D(R),M(R) ",72,73,58,73,67,70,71,73
Naldo,"Naldo Schalke 04, 36, D(C) ",75,30,29,65,49,60,81,79
Óscar,"Óscar Rodríguez Leganes, 21, AM(C) ",68,56,69,71,75,68,37,43
Gonçalo Guedes,"Gonçalo Guedes Valencia, 22, AM(LR),FW ",82,76,75,77,86,68,34,30
Jony,"Jony Deportivo Alaves, 28, AM(LR) ",77,79,70,76,74,72,51,46
Rubén Alcaraz,"Rubén Alcaraz Real Valladolid, 28, DMC ",73,57,64,75,62,74,76,64
A. Vidal,"Arturo Vidal Barcelona, 32, M(C) ",85,76,75,83,76,79,87,86
Antunes,"Vitorino Antunes Getafe, 32, D(L) ",80,81,56,77,74,76,81,82
J. Silva,"Jonathan Silva Leganes, 25, D(L),M(L) ",74,73,48,70,72,63,73,74
D. Suárez,"Damián Suárez Getafe, 31, D(R) ",77,77,59,76,62,66,77,80
Merino,"Mikel Merino Real Sociedad, 23, M(C) ",75,59,62,78,76,74,74,65
Mata,"Jaime Mata Getafe, 30, FW ",76,62,81,61,70,49,28,29
Ximo Navarro,"Ximo Navarro Deportivo Alaves, 29, D(CR) ",75,70,36,74,65,61,74,76
G. Bale,"Gareth Bale Real Madrid, 30, M(CLR),FW ",88,87,86,85,87,80,55,52
C. Lenglet,"Clément Lenglet Barcelona, 24, D(C) ",82,36,23,78,60,69,82,81
Daniel Carriço,"Daniel Carriço Sevilla, 31, D(C),DMC ",78,61,48,74,58,75,77,78
Alcalá,"Pedro Alcalá Girona, 30, D(C) ",75,45,30,71,50,66,81,71
O. Yokuşlu,"Okay Yokuslu Celta Vigo, 25, D(C),DMC ",77,67,65,77,74,72,76,71
S. Kjær,"Simon Kjaer Sevilla, 30, D(C) ",81,54,55,73,46,69,82,78
Nacho,"Nacho Real Valladolid, 30, D(LR) ",74,73,43,63,65,67,72,74
Granell,"Álex Granell Girona, 31, DMC,M(L) ",79,73,74,83,76,79,75,65
F. Vázquez,"Franco Vázquez Sevilla, 30, AM(CR),FW ",82,73,74,84,86,78,40,37
T. Lemar,"Thomas Lemar Atletico Madrid, 23, AM(CLR) ",83,83,75,84,85,75,59,63
Joaquín,"Joaquín Real Betis, 38, M(CLR),FW ",63,61,58,56,64,52,21,20
Yuri Berchiche,"Yuri Athletic Bilbao, 29, D(L),M(L) ",77,79,56,70,66,68,78,83
Hugo Mallo,"Hugo Mallo Celta Vigo, 28, D(CR),M(R) ",80,84,28,71,69,68,81,82
Morales,"José Luis Morales Levante, 32, D(R),M(CLR),FW ",81,79,80,75,87,68,54,45
P. Diop,"Pape Diop Eibar, 33, M(C) ",73,53,58,76,76,76,69,66
Martín,"Íñigo Martínez Athletic Bilbao, 28, D(C) ",75,77,28,76,65,45,78,77
Granero,"Esteban Granero Espanyol, 32, M(CLR) ",78,78,73,81,77,80,76,62
Kévin Rodrigues,"Kévin Rodrigues Real Sociedad, 25, D(L) ",74,77,42,78,53,66,76,78
Marc Muniesa,"Marc Muniesa Girona, 27, D(CL) ",74,67,42,73,63,56,79,77
C. Piccini,"Cristiano Piccini Valencia, 26, D(R) ",77,73,32,71,73,59,80,78
Marcos Llorente,"Marcos Llorente Real Madrid, 24, DMC ",79,56,39,84,68,81,79,72
T. Hernández,"Theo Hernández Real Sociedad, 21, D(L) ",77,75,50,76,78,52,76,79
Oyarzabal,"Mikel Oyarzabal Real Sociedad, 22, AM(CLR),FW ",80,81,78,80,84,73,32,30
K. Toko-Ekambi,"Karl Toko Ekambi Villarreal, 26, AM(L),FW ",79,74,81,69,80,58,14,18
Javi López,"Javi López Espanyol, 33, D(R),DMC ",75,70,55,76,68,61,77,82
Muniain,"Iker Muniain Athletic Bilbao, 26, AM(CLR) ",80,74,76,80,86,67,55,34
D. Djené,"Djené Dakonam Getafe, 27, D(C) ",78,60,29,72,44,54,80,81
Zubeldia,"Igor Zubeldia Real Sociedad, 22, DMC ",74,59,64,77,66,78,75,59
Marcelo,"Marcelo Real Madrid, 31, D(L) ",80,36,48,70,51,72,82,73
Toni Villa,"Toni Villa Real Valladolid, 24, AM(L) ",73,66,65,76,76,72,52,54
Sergi Enrich,"Sergi Enrich Eibar, 29, FW ",80,70,81,79,76,61,46,31
Munir,"Munir El Haddadi Sevilla, 24, AM(LR),FW ",77,65,78,77,81,58,24,22
Zaldúa,"Joseba Zaldua Real Sociedad, 27, D(R) ",75,77,25,78,55,55,78,79
R. Funes Mori,"Ramiro Funes Mori Villarreal, 28, D(C),DMC ",77,66,40,70,63,62,77,74
Manu Morlanes,"Manuel Morlanes Villarreal, 20, M(C) ",71,64,56,78,72,71,54,48
Borja García,"Borja García Girona, 28, AM(CL) ",79,70,77,82,80,80,72,59
Dídac Vilà,"Dídac Vilá Espanyol, 30, D(L) ",74,74,32,66,73,68,75,76
William Carvalho,"William Carvalho Real Betis, 27, DMC ",84,68,52,84,80,86,85,68
Sergi Guardiola,"Sergi Guardiola Real Valladolid, 28, FW ",75,43,80,72,78,41,19,18
David Juncà,"David Juncà Celta Vigo, 25, D(L) ",76,78,35,72,64,61,74,78
Gerard Moreno,"Gerard Moreno Villarreal, 27, AM(C),FW ",83,61,83,78,78,56,41,41
A. Ba,"Abdoulaye Ba Rayo Vallecano, 28, D(C) ",73,35,22,58,35,41,74,68
N. Maksimović,"Nemanja Maksimovic Getafe, 24, DMC ",78,45,22,59,49,59,80,79
S. Chukwueze,"Samuel Chukwueze Villarreal, 20, AM(CR) ",65,61,62,60,73,38,21,28
Marco Asensio,"Marco Asensio Real Madrid, 23, AM(CLR) ",85,82,82,83,86,82,42,39
K. Omeruo,"Kenneth Omeruo Leganes, 25, D(C) ",72,47,22,63,53,60,73,69
Sergi Darder,"Sergi Darder Espanyol, 25, DMC,M(L) ",79,68,59,84,76,81,68,69
R. Varane,"Raphael Varane Real Madrid, 26, D(C) ",86,36,40,75,57,76,88,87
Embarba,"Adrián Embarba Rayo Vallecano, 27, AM(LR),FW ",76,71,72,78,76,76,52,49
Cristian Tello,"Cristian Tello Real Betis, 28, M(LR) ",80,78,74,77,82,70,30,26
Tomás Pina,"Tomás Pina Deportivo Alaves, 31, M(C) ",77,55,62,79,76,78,77,69
Rubén Duarte,"Rubén Duarte Deportivo Alaves, 23, D(L) ",76,76,28,77,62,55,79,80
Carlos Soler,"Carlos Soler Valencia, 22, M(CR) ",80,80,74,84,79,79,65,56
Vesga,"Mikel Vesga Leganes, 26, DMC ",72,56,56,74,64,75,74,70
B. Espinosa,"Bernardo Espinosa Girona, 30, D(C) ",77,51,39,74,40,61,80,75
Vinícius Júnior,"Vinícius Júnior Real Madrid, 19, AM(L) ",77,65,70,70,81,48,25,18
